username,url
MourtadaTSC,https://twitter.com/MourtadaTSC/status/1161048865858052096
Djiks70,https://twitter.com/Djiks70/status/1161048802788331522
shxeda_,https://twitter.com/shxeda_/status/1161007740082372608
Seuufiiie,https://twitter.com/Seuufiiie/status/1160956714709061632
BinetouDiop7,https://twitter.com/BinetouDiop7/status/1161048246975946752
AliouneBNdiaye1,https://twitter.com/AliouneBNdiaye1/status/1160969785565470720
MoustaphaNdiaay,https://twitter.com/MoustaphaNdiaay/status/1161028885653405696
mahmeet_lee,https://twitter.com/mahmeet_lee/status/1160965199970615298
TALIBEE_CHEIKH,https://twitter.com/TALIBEE_CHEIKH/status/1160898673594814465
Casadesambel,https://twitter.com/Casadesambel/status/1160893498633179139
AhmedNiang2,https://twitter.com/AhmedNiang2/status/1160888320064466947
moomo_beye,https://twitter.com/moomo_beye/status/1160983225226993670
MamyKa9,https://twitter.com/MamyKa9/status/1160990623207477248
____biinou____,https://twitter.com/____biinou____/status/1161048106118602753
diop_ousmane,https://twitter.com/diop_ousmane/status/1160996666109026310
Beaute_07,https://twitter.com/Beaute_07/status/1161060101618372608
MinaBDieng,https://twitter.com/MinaBDieng/status/1161051357551517696
MaevaNla,https://twitter.com/MaevaNla/status/1161028105223491584
2Oumou,https://twitter.com/2Oumou/status/1161027159907033088
Dykhive,https://twitter.com/Dykhive/status/1161019119585701888
twiinsaddict,https://twitter.com/twiinsaddict/status/1161040294114189312
ABYYSAMB,https://twitter.com/ABYYSAMB/status/1161020759969599494
PapyEast,https://twitter.com/PapyEast/status/1161014411370336256
Sabiine99,https://twitter.com/Sabiine99/status/1161012354722729985
GrownK,https://twitter.com/GrownK/status/1161010364433207297
Pvpi_Svkho,https://twitter.com/Pvpi_Svkho/status/1161005656666791938
SerignJr,https://twitter.com/SerignJr/status/1160999301327314945
Amath_d24,https://twitter.com/Amath_d24/status/1160994533200596994
TidianeDiouf11,https://twitter.com/TidianeDiouf11/status/1160989442817101824
Pacoo_D,https://twitter.com/Pacoo_D/status/1160988217270853633
allopassane,https://twitter.com/allopassane/status/1160984306228948992
yeumd98,https://twitter.com/yeumd98/status/1160976819232923649
Barbig_Wonroe,https://twitter.com/Barbig_Wonroe/status/1160955118013095936
Kalsoum_M,https://twitter.com/Kalsoum_M/status/1160947162383036416
khadime27,https://twitter.com/khadime27/status/1160930434819211265
13_diallo,https://twitter.com/13_diallo/status/1160914456911712256
__GaMouH,https://twitter.com/__GaMouH/status/1161028560544514048
christine_sarr,https://twitter.com/christine_sarr/status/1161020063190802435
sdieng51,https://twitter.com/sdieng51/status/1161014519906426881
Jeytleman,https://twitter.com/Jeytleman/status/1161013053326090240
_khoudiaa,https://twitter.com/_khoudiaa/status/1161012403817107457
Sey__Gye__yeS,https://twitter.com/Sey__Gye__yeS/status/1160997468923924480
A_MG28,https://twitter.com/A_MG28/status/1160983306487435266
Alsinesy,https://twitter.com/Alsinesy/status/1160967794281893889
alonsolazy,https://twitter.com/alonsolazy/status/1160951871147859970
Lamtoro95,https://twitter.com/Lamtoro95/status/1160947573949120512
mamadousamatey,https://twitter.com/mamadousamatey/status/1160931694146412545
bachir_bg,https://twitter.com/bachir_bg/status/1160907036621713409
benkhataab,https://twitter.com/benkhataab/status/1160906777262788608
MDiiop,https://twitter.com/MDiiop/status/1160905257456668672
papss22,https://twitter.com/papss22/status/1160895391652560896
Passane_B,https://twitter.com/Passane_B/status/1160851515713740800
Bibaa__W,https://twitter.com/Bibaa__W/status/1161002118142185474
Lalya_N,https://twitter.com/Lalya_N/status/1160999974383099904
